route_id,route_short_name,route_long_name,direction,headway_minutes,total_trips,trip_id,trip_start_time,stop_order,stop_name,arrival_time,departure_time
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,3,Islamic University,11:07:20,11:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,4,FAST University,11:10:20,11:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,5,PAEC General Hospital,11:13:00,11:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,6,IMC Hospital,11:15:05,11:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,7,Metro CNC,11:17:45,11:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,8,Sabzi Mandi,11:19:25,11:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,9,Mandi Morh,11:22:15,11:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,10,Kurang Road Stop,11:24:00,11:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,11,IESCO,11:26:00,11:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,12,PTCL I-10,11:27:50,11:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,13,Sui Gas Stop,11:29:35,11:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,14,OGTI Stop,11:35:25,11:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,15,CDA Complain Center,11:39:35,11:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176069-0,11:00:00,16,MCI Model School,11:45:00,11:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,1,Nust Metro Station,12:00:00,12:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,2,NPA Stop,12:04:40,12:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,3,Islamic University,12:07:20,12:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,4,FAST University,12:10:20,12:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,5,PAEC General Hospital,12:13:00,12:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,6,IMC Hospital,12:15:05,12:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,7,Metro CNC,12:17:45,12:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,8,Sabzi Mandi,12:19:25,12:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,9,Mandi Morh,12:22:15,12:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,10,Kurang Road Stop,12:24:00,12:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,11,IESCO,12:26:00,12:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,12,PTCL I-10,12:27:50,12:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,13,Sui Gas Stop,12:29:35,12:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,14,OGTI Stop,12:35:25,12:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,15,CDA Complain Center,12:39:35,12:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176070-0,12:00:00,16,MCI Model School,12:45:00,12:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,1,Nust Metro Station,13:00:00,13:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,2,NPA Stop,13:04:40,13:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,3,Islamic University,13:07:20,13:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,4,FAST University,13:10:20,13:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,5,PAEC General Hospital,13:13:00,13:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,6,IMC Hospital,13:15:05,13:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,7,Metro CNC,13:17:45,13:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,8,Sabzi Mandi,13:19:25,13:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,9,Mandi Morh,13:22:15,13:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,10,Kurang Road Stop,13:24:00,13:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,11,IESCO,13:26:00,13:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,12,PTCL I-10,13:27:50,13:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,13,Sui Gas Stop,13:29:35,13:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,14,OGTI Stop,13:35:25,13:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,15,CDA Complain Center,13:39:35,13:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176071-0,13:00:00,16,MCI Model School,13:45:00,13:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,1,Nust Metro Station,14:00:00,14:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,2,NPA Stop,14:04:40,14:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,3,Islamic University,14:07:20,14:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,4,FAST University,14:10:20,14:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,5,PAEC General Hospital,14:13:00,14:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,6,IMC Hospital,14:15:05,14:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,7,Metro CNC,14:17:45,14:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,8,Sabzi Mandi,14:19:25,14:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,9,Mandi Morh,14:22:15,14:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,10,Kurang Road Stop,14:24:00,14:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,11,IESCO,14:26:00,14:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,12,PTCL I-10,14:27:50,14:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,13,Sui Gas Stop,14:29:35,14:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,14,OGTI Stop,14:35:25,14:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,15,CDA Complain Center,14:39:35,14:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176072-0,14:00:00,16,MCI Model School,14:45:00,14:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,1,Nust Metro Station,15:00:00,15:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,2,NPA Stop,15:04:40,15:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,3,Islamic University,15:07:20,15:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,4,FAST University,15:10:20,15:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,5,PAEC General Hospital,15:13:00,15:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,6,IMC Hospital,15:15:05,15:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,7,Metro CNC,15:17:45,15:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,8,Sabzi Mandi,15:19:25,15:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,9,Mandi Morh,15:22:15,15:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,10,Kurang Road Stop,15:24:00,15:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,11,IESCO,15:26:00,15:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,12,PTCL I-10,15:27:50,15:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,13,Sui Gas Stop,15:29:35,15:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,14,OGTI Stop,15:35:25,15:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,15,CDA Complain Center,15:39:35,15:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176073-0,15:00:00,16,MCI Model School,15:45:00,15:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,1,Nust Metro Station,16:00:00,16:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,2,NPA Stop,16:04:40,16:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,3,Islamic University,16:07:20,16:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,4,FAST University,16:10:20,16:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,5,PAEC General Hospital,16:13:00,16:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,6,IMC Hospital,16:15:05,16:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,7,Metro CNC,16:17:45,16:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,8,Sabzi Mandi,16:19:25,16:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,9,Mandi Morh,16:22:15,16:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,10,Kurang Road Stop,16:24:00,16:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,11,IESCO,16:26:00,16:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,12,PTCL I-10,16:27:50,16:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,13,Sui Gas Stop,16:29:35,16:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,14,OGTI Stop,16:35:25,16:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176074-0,16:00:00,15,CDA Complain Center,16:39:35,16:39:55
